Place_ID,Operator,Bussiness_Status,Location_Name,Address,Latitude,Longitude,Usage,Number_of_Connectors,Min_Power_kW,Max_Power_kW,Max_Charging_Type,Rapid_Charge_Available,Fast_Charge_Available,Slow_Charge_Available
250672,Char.gy,Operational,1 Gandolfi Street,"1 Gandolfi Street, London, SE15 6QY",51.4811466,-0.082996,Public,1,5.1,5.1,Slow,No,No,Yes
238346,Char.gy,Operational,78 St George's Way,"78 St George's Way, London, SE15 6QT",51.4815877,-0.0827106,Public,1,5.1,5.1,Slow,No,No,Yes
236803,Char.gy,Operational,62 St George's Way,"62 St George's Way, London, SE5 7UB",51.4815467,-0.0843246,Public,1,5.1,5.1,Slow,No,No,Yes
272932,Char.gy,Operational,2 Dragon Road,"2 Dragon Road, London, SE15 6QU",51.4813435,-0.0836046,Public,1,5.1,5.1,Slow,No,No,Yes
236475,Char.gy,Operational,Burgess Park,"Burgess Park, Wells Way - a, SE5 7LA",51.483329,-0.0860928,Public,2,3.5,5.1,Slow,No,No,Yes
236469,Char.gy,Operational,1 Parkhouse Street,"1 Parkhouse Street, London, SE5 7TQ",51.4802142,-0.0880395,Public,1,5.1,5.1,Slow,No,No,Yes
238358,Char.gy,Operational,Opposite Hankey House,"Opposite Hankey House, Hankey Place, SE1 4BQ",51.4996383,-0.0883682,Public,1,5.1,5.1,Slow,No,No,Yes
237141,Char.gy,Operational,Aylesford House,"Aylesford House, Staple Street, SE1 4LS",51.4996591,-0.0874675,Public,1,5.1,5.1,Slow,No,No,Yes
256437,Char.gy,Operational,Otford House,"Otford House, Staple Street, SE1 4LS",51.4990957,-0.0879191,Public,1,5.1,5.1,Slow,No,No,Yes
256435,Char.gy,Operational,Eastwell House,"Eastwell House, Manciple Street, SE1 4DN",51.4983266,-0.0871158,Public,1,5.1,5.1,Slow,No,No,Yes
236553,Char.gy,Operational,Eastwell House,"Eastwell House, Manciple Street, SE1 4ND",51.4982487,-0.0869235,Public,1,5.1,5.1,Slow,No,No,Yes
236870,Char.gy,Operational,Seal House,"Seal House, Pardoner Street, SE1 4DW",51.4981201,-0.0866116,Public,1,5.1,5.1,Slow,No,No,Yes
136178,Shell Recharge Solutions (UK),Unknown,Tabard St 217,"Tabard St 217, London, SE1 4UR",51.496995,-0.087943,Public - Pay At Location,1,3.7,3.7,Slow,No,No,Yes
236591,Char.gy,Operational,Westerham House,"Westerham House, Law Street, SE1 4DY",51.4969972,-0.0870303,Public,1,5.1,5.1,Slow,No,No,Yes
236838,Char.gy,Operational,Shalford House,"Shalford House, Law Street, SE1 4DY",51.4972822,-0.086563,Public,1,5.1,5.1,Slow,No,No,Yes
236578,Char.gy,Operational,Opposite Chartham House,"Opposite Chartham House, Law Street, SE1 4DY",51.4973066,-0.0859521,Public,1,5.1,5.1,Slow,No,No,Yes
236579,Char.gy,Operational,Wilds Rent,"Wilds Rent, corner of Weston Street, SE1 4QG",51.497358,-0.0852024,Public,1,5.1,5.1,Slow,No,No,Yes
236597,Char.gy,Operational,Elim Estate,"Elim Estate, Weston Street, SE1 3RA",51.4977519,-0.0855496,Public,1,5.1,5.1,Slow,No,No,Yes
236922,Char.gy,Operational,Eastwell House,"Eastwell House, Pardoner Street, SE1 4DW",51.4982535,-0.0863785,Public,1,5.1,5.1,Slow,No,No,Yes
136188,Shell Recharge Solutions (UK),Unknown,Decima St 110,"Decima St 110, London, SE1 4QQ",51.49742,-0.083497,Public - Pay At Location,1,3.7,3.7,Slow,No,No,Yes
252922,Shell Recharge Solutions (UK),Unknown,Shell Recharge/Ubitricity,"null, London, SE1 4TW",51.496874,-0.082372,Public - Pay At Location,1,5.0,5.0,Slow,No,No,Yes
236655,Char.gy,Operational,20 Rothsay Street,"20 Rothsay Street, London, SE1 4UE",51.4967345,-0.0841345,Public,1,5.1,5.1,Slow,No,No,Yes
256871,Char.gy,Operational,Elim Estate,"Elim Estate, Wilds Rent, SE1 4QG",51.4977396,-0.0847442,Public,1,5.1,5.1,Slow,No,No,Yes
237915,Char.gy,Operational,Meakin Estate,"Meakin Estate, Rothsay Street, SE1 4QL",51.4965793,-0.0839272,Public,1,5.1,5.1,Slow,No,No,Yes
252888,BP Pulse (UK),Unknown,76-80 Tower Bridge Road,"76-80 Tower Bridge Road, London, SE1 4TP",51.496208,-0.082557,Public - Membership Required,2,50.0,50.0,Rapid,Yes,No,No
236543,Char.gy,Operational,Opposite 7-12 Potier Street,"Opposite 7 - 12 Potier Street, London, SE1 4XH",51.4961848,-0.0867635,Public,1,4.8,4.8,Slow,No,No,Yes
136168,Shell Recharge Solutions (UK),Unknown,Tabard St 269,"Tabard St 269, London, SE1 4UR",51.495989,-0.087046,Public - Pay At Location,1,3.7,3.7,Slow,No,No,Yes
236583,Char.gy,Operational,Pallant House,"Pallant House, Tabard Street, SE1 4YD",51.4962433,-0.0874068,Public,1,5.1,5.1,Slow,No,No,Yes
236564,Char.gy,Operational,Opposite St Saviour & St Olave's School,"Opposite St Saviour & St Olave's School, Bartholomew Street, SE1 4AL",51.4952489,-0.0875435,Public,1,5.1,5.1,Slow,No,No,Yes
136151,Shell Recharge Solutions (UK),Unknown,Searles Rd 14,"Searles Rd 14, London, SE1 4YU",51.494014,-0.087202,Public - Pay At Location,1,3.7,3.7,Slow,No,No,Yes
236818,Char.gy,Operational,Kempe House,"Kempe House, Deverell Street, SE4 4AJ",51.4949336,-0.0889869,Public,1,5.1,5.1,Slow,No,No,Yes
236566,Char.gy,Operational,Opposite Great Dover Street Apartments,"Opposite Great Dover Street Apartments, Tabard Street, SE1 4LA",51.4977927,-0.0888687,Public,1,5.1,5.1,Slow,No,No,Yes
236607,Char.gy,Operational,Opposite Sidney Webb House,"Opposite Sidney Webb House, Tabard Street, SE1 4LA",51.4974483,-0.0884659,Public,1,5.1,5.1,Slow,No,No,Yes
236893,Char.gy,Operational,Opposite Rochester House,"Opposite Rochester House, Manciple Street, SE1 4BD",51.4990023,-0.0883582,Public,1,5.1,5.1,Slow,No,No,Yes
237133,Char.gy,Operational,Opposite Tabard Gardens,"Opposite Tabard Gardens, Tabard Street, SE1 4LP",51.4982656,-0.0895219,Public,1,5.1,5.1,Slow,No,No,Yes
236582,Char.gy,Operational,Tabard Gardens,"Tabard Gardens, Tabard Street, SE1 4LP",51.4984793,-0.0896097,Public,1,5.1,5.1,Slow,No,No,Yes
